zipcode,statecode,county,city_town,climate Zone
02191,MA,NORFOLK,NORTH WEYMOUTH,5A
02196,MA,SUFFOLK,BOSTON,5A
02199,MA,SUFFOLK,BOSTON,5A
02201,MA,SUFFOLK,BOSTON,5A
02203,MA,SUFFOLK,BOSTON,5A
02205,MA,SUFFOLK,BOSTON,5A
02210,MA,SUFFOLK,BOSTON,5A
02211,MA,SUFFOLK,BOSTON,5A
02212,MA,SUFFOLK,BOSTON,5A
02215,MA,SUFFOLK,BOSTON,5A
02217,MA,SUFFOLK,BOSTON,5A
02222,MA,SUFFOLK,BOSTON,5A
02228,MA,SUFFOLK,EAST BOSTON,5A
02238,MA,MIDDLESEX,CAMBRIDGE,5A
02241,MA,SUFFOLK,BOSTON,5A
02269,MA,NORFOLK,QUINCY,5A
02283,MA,SUFFOLK,BOSTON,5A
02297,MA,SUFFOLK,BOSTON,5A
02301,MA,PLYMOUTH,BROCKTON,5A
02302,MA,PLYMOUTH,BROCKTON,5A
02303,MA,PLYMOUTH,BROCKTON,5A
02304,MA,PLYMOUTH,BROCKTON,5A
02305,MA,PLYMOUTH,BROCKTON,5A
02322,MA,NORFOLK,AVON,5A
02324,MA,PLYMOUTH,BRIDGEWATER,5A
02325,MA,PLYMOUTH,BRIDGEWATER,5A
02327,MA,PLYMOUTH,BRYANTVILLE,5A
02330,MA,PLYMOUTH,CARVER,5A
02331,MA,PLYMOUTH,DUXBURY,5A
02332,MA,PLYMOUTH,DUXBURY,5A
02333,MA,PLYMOUTH,EAST BRIDGEWATER,5A
02334,MA,BRISTOL,EASTON,5A
02337,MA,PLYMOUTH,ELMWOOD,5A
02338,MA,PLYMOUTH,HALIFAX,5A
02339,MA,PLYMOUTH,HANOVER,5A
02340,MA,PLYMOUTH,HANOVER,5A
02341,MA,PLYMOUTH,HANSON,5A
02343,MA,NORFOLK,HOLBROOK,5A
02344,MA,PLYMOUTH,MIDDLEBORO,5A
02345,MA,PLYMOUTH,MANOMET,5A
02346,MA,PLYMOUTH,MIDDLEBORO,5A
02347,MA,PLYMOUTH,LAKEVILLE,5A
02348,MA,PLYMOUTH,LAKEVILLE,5A
02349,MA,PLYMOUTH,MIDDLEBORO,5A
02350,MA,PLYMOUTH,MONPONSETT,5A
02351,MA,PLYMOUTH,ABINGTON,5A
02355,MA,PLYMOUTH,NORTH CARVER,5A
02356,MA,BRISTOL,NORTH EASTON,5A
